name;division;age;nationality;maç sayısı;rounds;nakavt oranı;height;reach;stance;career;yenme;yenilgi;berabere;nakavt_etme;nakavt_edilme
Oleksandr Usyk;heavy;37;Ukraine;22;189;63.64%;6′ 3″   /   191cm;78″   /   198cm;southpaw;"debut
        2013-11-09";22;0;0;14 KOs;0 KOs
Daniel Dubois;heavy;27;United Kingdom;24;95;95.45%;6′ 5″   /   196cm;78″   /   198cm;orthodox;"debut
        2017-04-08";22;2;0;21 KOs;2 KOs
Tyson Fury;heavy;36;United Kingdom;36;242;70.59%;6′ 9″   /   206cm;85″   /   216cm;orthodox;"debut
        2008-12-06";34;1;1;24 KOs;0 KOs
Agit Kabayel;heavy;32;Germany;25;125;68%;6′ 3″   /   191cm;80″   /   203cm;orthodox;"debut
        2011-06-23";25;0;0;17 KOs;0 KOs
Anthony Joshua;heavy;35;United Kingdom;32;167;89.29%;6′ 6″   /   198cm;82″   /   208cm;orthodox;"debut
        2013-10-05";28;4;0;25 KOs;2 KOs
Martin Bakole;heavy;32;Democratic Republic Of The Congo;22;85;76.19%;6′ 6″   /   198cm;;orthodox;"debut
        2014-03-25";21;1;0;16 KOs;1 KOs
Joseph Parker;heavy;32;New Zealand;38;250;65.71%;6′ 4″   /   193cm;76″   /   193cm;orthodox;"debut
        2012-07-05";35;3;0;23 KOs;1 KOs
Lawrence Okolie;heavy;31;United Kingdom;21;109;75%;6′ 5″   /   196cm;82½″   /   210cm;orthodox;"debut
        2017-03-25";20;1;0;15 KOs;0 KOs
Michael Hunter;heavy;36;USA;26;154;69.57%;6′ 2″   /   188cm;79½″   /   202cm;orthodox;"debut
        2013-03-09";23;1;2;16 KOs;0 KOs
Filip Hrgovic;heavy;32;Croatia;18;82;82.35%;6′ 6″   /   198cm;;orthodox;"debut
        2017-09-30";17;1;0;14 KOs;1 KOs
Otto Wallin;heavy;33;Sweden;30;163;55.56%;6′ 5½″   /   197cm;78″   /   198cm;southpaw;"debut
        2013-06-15";27;2;0;15 KOs;1 KOs
Fabio Wardley;heavy;29;United Kingdom;19;62;94.44%;6′ 5″   /   196cm;;orthodox;"debut
        2017-04-08";18;0;1;17 KOs;0 KOs
Zhilei Zhang;heavy;41;China;30;110;81.48%;6′ 6″   /   198cm;80″   /   203cm;southpaw;"debut
        2014-08-08";27;2;1;22 KOs;0 KOs
Efe Ajagba;heavy;30;Nigeria;21;93;70%;6′ 6″   /   198cm;85″   /   216cm;orthodox;"debut
        2017-07-30";20;1;0;14 KOs;0 KOs
Murat Gassiev;heavy;31;Armenia;34;157;77.42%;6′ 3½″   /   192cm;76″   /   193cm;orthodox;"debut
        2011-09-21";31;2;0;24 KOs;0 KOs
Dillian Whyte;heavy;36;United Kingdom;33;185;66.67%;6′ 4″   /   193cm;78″   /   198cm;orthodox;"debut
        2011-05-13";30;3;0;20 KOs;3 KOs
Justis Huni;heavy;25;Australia;10;74;50%;6′ 4″   /   193cm;;orthodox;"debut
        2020-10-22";10;0;0;5 KOs;0 KOs
Jared Anderson;heavy;25;USA;18;61;88.24%;6′ 4″   /   193cm;78½″   /   199cm;orthodox;"debut
        2019-10-26";17;1;0;15 KOs;1 KOs
Derek Chisora;heavy;40;United Kingdom;48;334;65.71%;6′ 1½″   /   187cm;74″   /   188cm;orthodox;"debut
        2007-02-17";35;13;0;23 KOs;4 KOs
Joe Joyce;heavy;39;United Kingdom;19;103;93.75%;6′ 6″   /   198cm;80″   /   203cm;orthodox;"debut
        2017-10-20";16;3;0;15 KOs;2 KOs
Luis Ortiz;heavy;45;Cuba;39;181;85.29%;6′ 4″   /   193cm;78″   /   198cm;southpaw;"debut
        2010-02-16";34;3;0;29 KOs;2 KOs
Andy Ruiz;heavy;35;USA;38;199;62.86%;6′ 2″   /   188cm;74″   /   188cm;orthodox;"debut
        2009-03-28";35;2;1;22 KOs;0 KOs
Kubrat Pulev;heavy;43;Bulgaria;34;256;45.16%;6′ 4½″   /   194cm;79½″   /   202cm;orthodox;"debut
        2009-09-19";31;3;0;14 KOs;2 KOs
